,Club,League,Nation,Position,Wage,Age,Apps,Caps,Total Apps
3454,Bayer 04,Bundesliga,GER,Defender,"29,000",18,0,0,0
3455,SC Freiburg,Bundesliga,GER,Midfilder,"29,000",18,0,0,0
3456,RB Leipzig,Bundesliga,GER,Defender,"29,000",18,0,0,0
3457,RB Leipzig,Bundesliga,GER,Defender,"29,000",18,0,0,0
3458,RB Leipzig,Bundesliga,SUI,Forward,"29,000",18,1,0,1
3459,VfB Stuttgart,Bundesliga,SWE,Midfilder,"29,000",18,0,0,0
3460,RB Leipzig,Bundesliga,GER,Forward,"29,000",18,0,0,0
3461,VfB Stuttgart,Bundesliga,GER,Defender,"29,000",18,0,0,0
3462,VfB Stuttgart,Bundesliga,GER,Defender,"29,000",18,0,0,0
3463,1. FC Koln,Bundesliga,GER,Goalkeeper,"29,000",25,1,0,1
3464,SC Freiburg,Bundesliga,GER,Forward,"29,000",18,0,0,0
3465,OGC Nice,Ligue 1 Uber Eats,FRA,Forward,"29,000",18,0,0,0
3466,OGC Nice,Ligue 1 Uber Eats,FRA,Midfilder,"29,000",18,0,0,0
3467,Toulouse FC,Ligue 1 Uber Eats,CMR,Defender,"29,000",18,0,0,0
3468,Brest,Ligue 1 Uber Eats,FRA,Forward,"29,000",18,0,0,0
3469,OM,Ligue 1 Uber Eats,FRA,Midfilder,"29,000",18,0,0,0
3470,AJ Auxerre,Ligue 1 Uber Eats,FRA,Forward,"29,000",18,0,0,0
3471,Brest,Ligue 1 Uber Eats,FRA,Defender,"29,000",18,0,0,0
3472,Angers SCO,Ligue 1 Uber Eats,FRA,Midfilder,"29,000",18,0,0,0
3473,Brest,Ligue 1 Uber Eats,BEL,Midfilder,"29,000",18,0,0,0
3474,AC Ajaccio,Ligue 1 Uber Eats,FRA,Goalkeeper,"29,000",28,13,0,13
3475,Brest,Ligue 1 Uber Eats,FRA,Goalkeeper,"29,000",18,0,0,0
3476,Angers SCO,Ligue 1 Uber Eats,FRA,Defender,"29,000",18,0,0,0
3477,Brest,Ligue 1 Uber Eats,FRA,Defender,"29,000",18,0,0,0
3478,Troyes,Ligue 1 Uber Eats,FRA,Forward,"29,000",18,6,0,6
3479,FC Nantes,Ligue 1 Uber Eats,FRA,Goalkeeper,"29,000",18,1,0,1
3480,Brest,Ligue 1 Uber Eats,FRA,Defender,"29,000",18,0,0,0
3481,Reims,Ligue 1 Uber Eats,SEN,Defender,"29,000",18,14,0,14
3482,AC Ajaccio,Ligue 1 Uber Eats,ALG,Midfilder,"29,000",18,0,0,0
3483,VIZ,Primiera Liga,COL,Forward,"29,000",18,0,0,0
3484,Wolves,Premier League,SIN,Defender,"28,500",18,0,0,0
3485,Newcastle,Premier League,ENG,Midfilder,"28,500",18,0,0,0
3486,Newcastle,Premier League,ENG,Midfilder,"28,500",18,0,0,0
3487,VIZ,Primiera Liga,VEN,Forward,"28,500",19,48,0,48
3488,Barcelona,La Liga,ESP,Defender,"28,000",18,0,0,0
3489,Arouca,Primiera Liga,NGA,Forward,"28,000",24,91,0,91
3490,Arouca,Primiera Liga,BRA,Defender,"28,000",22,33,0,33
3491,Milan,Serie A,GRE,Goalkeeper,"27,500",19,0,0,0
3492,Juventus,Serie A,ITA,Defender,"27,500",19,0,0,0
3493,Milan,Serie A,ITA,Defender,"27,500",18,0,0,0
3494,Verona,Serie A,ITA,Forward,"27,500",19,3,0,3
3495,Salento,Serie A,ESP,Defender,"27,500",18,0,0,0
3496,Fulham,Premier League,ENG,Forward,"27,500",18,1,0,1
3497,Hertha Berlin,Bundesliga,GER,Defender,"27,000",18,1,0,1
3498,Udinese,Serie A,ITA,Forward,"27,000",19,0,0,0
3499,Fiorentina,Serie A,ITA,Defender,"27,000",19,0,0,0
3500,Bologna,Serie A,ITA,Forward,"27,000",18,0,0,0
3501,BVT,Primiera Liga,POR,Midfilder,"27,000",19,0,0,0
3502,BVT,Primiera Liga,IRL,Forward,"27,000",18,0,0,0
3503,Sampdoria,Serie A,ITA,Defender,"26,500",20,0,0,0
3504,Empoli,Serie A,FRA,Defender,"26,500",20,0,0,0
3505,Salento,Serie A,ITA,Defender,"26,500",20,13,0,13
3506,Aston Villa,Premier League,ENG,Goalkeeper,"26,000",18,0,0,0
3507,Newcastle,Premier League,ENG,Midfilder,"26,000",18,0,0,0
3508,Newcastle,Premier League,ENG,Midfilder,"26,000",19,0,0,0
3509,Nottm Forest,Premier League,ENG,Forward,"26,000",19,2,0,2
3510,Newcastle,Premier League,ENG,Defender,"26,000",18,0,0,0
3511,Newcastle,Premier League,ENG,Defender,"26,000",19,0,0,0
3512,Newcastle,Premier League,ENG,Defender,"26,000",19,0,0,0
3513,Nottm Forest,Premier League,ENG,Midfilder,"26,000",18,0,0,0
3514,West Ham,Premier League,ENG,Midfilder,"26,000",18,0,0,0
3515,Fulham,Premier League,ENG,Midfilder,"26,000",18,0,0,0
3516,Southampton,Premier League,NIR,Defender,"26,000",18,0,0,0
3517,West Ham,Premier League,NIR,Defender,"26,000",18,0,0,0
3518,Wolves,Premier League,ENG,Defender,"26,000",19,0,0,0
3519,Southampton,Premier League,ENG,Defender,"26,000",20,0,0,0
3520,Leeds,Premier League,NIR,Midfilder,"26,000",18,4,0,4
3521,Southampton,Premier League,ENG,Goalkeeper,"26,000",19,36,0,36
3522,Wolves,Premier League,ISL,Goalkeeper,"26,000",18,1,0,1
3523,Fulham,Premier League,ENG,Defender,"26,000",18,0,0,0
3524,Southampton,Premier League,ENG,Defender,"26,000",19,0,0,0
3525,Southampton,Premier League,ENG,Goalkeeper,"26,000",19,0,0,0
3526,West Ham,Premier League,ENG,Forward,"26,000",20,0,0,0
3527,Bournemouth,Premier League,ENG,Midfilder,"26,000",19,6,0,6
3528,Fulham,Premier League,CYP,Midfilder,"26,000",18,0,0,0
3529,Leicester,Premier League,ENG,Goalkeeper,"26,000",18,0,0,0
3530,Southampton,Premier League,ENG,Forward,"26,000",19,0,0,0
3531,Newcastle,Premier League,ENG,Defender,"26,000",18,0,0,0
3532,West Ham,Premier League,ENG,Defender,"26,000",18,0,0,0
3533,West Ham,Premier League,BER,Forward,"26,000",18,0,2,2
3534,Torino,Serie A,ITA,Forward,"26,000",18,0,0,0
3535,Southampton,Premier League,ENG,Forward,"26,000",18,0,0,0
3536,Wolves,Premier League,ENG,Defender,"26,000",18,0,0,0
3537,Wolves,Premier League,ENG,Defender,"26,000",18,0,0,0
3538,Wolves,Premier League,ENG,Defender,"26,000",18,0,0,0
3539,Wolves,Premier League,JAM,Forward,"26,000",18,5,0,5
3540,Southampton,Premier League,SRB,Midfilder,"26,000",18,0,0,0
3541,Nottm Forest,Premier League,ENG,Midfilder,"26,000",18,2,0,2
3542,Nottm Forest,Premier League,ENG,Forward,"26,000",18,0,0,0
3543,Nottm Forest,Premier League,ENG,Defender,"26,000",18,0,0,0
3544,Southampton,Premier League,ENG,Goalkeeper,"26,000",18,0,0,0
3545,Southampton,Premier League,ENG,Midfilder,"26,000",18,0,0,0
3546,Brighton,Premier League,ENG,Midfilder,"26,000",18,0,0,0
3547,Brighton,Premier League,SVK,Defender,"26,000",18,0,0,0
3548,Brentford,Premier League,ENG,Midfilder,"26,000",20,26,0,26
3549,Inter,Serie A,POL,Forward,"26,000",18,0,0,0
3550,Juventus,Serie A,ITA,Midfilder,"25,500",19,0,0,0
3551,Sassuolo,Serie A,SRB,Defender,"25,000",18,0,0,0
3552,Torino,Serie A,FRA,Defender,"25,000",19,0,0,0
3553,Arouca,Primiera Liga,GHA,Midfilder,"25,000",23,32,0,32
3554,Salento,Serie A,SUI,Midfilder,"25,000",18,16,0,16
3555,Famalicao,Primiera Liga,POR,Midfilder,"25,000",19,0,0,0
3556,Salento,Serie A,SWE,Defender,"25,000",19,0,0,0
3557,BRG,Primiera Liga,POR,Defender,"25,000",19,3,0,3
3558,BRG,Primiera Liga,POR,Midfilder,"25,000",18,0,0,0
3559,Gil Vicente,Primiera Liga,POR,Forward,"25,000",20,22,0,22
3560,BRG,Primiera Liga,POR,Defender,"25,000",20,0,0,0
3561,Casa Pia,Primiera Liga,POR,Defender,"24,500",20,14,0,14
3562,Gil Vicente,Primiera Liga,PER,Midfilder,"24,500",20,17,0,17
3563,Estoril Praia,Primiera Liga,POR,Defender,"24,500",20,5,0,5
3564,Estoril Praia,Primiera Liga,BRA,Forward,"24,500",18,7,0,7
3565,Estoril Praia,Primiera Liga,BRA,Defender,"24,500",20,8,0,8
3566,Parthenope,Serie A,ITA,Midfilder,"24,500",19,0,0,0
3567,Parthenope,Serie A,ITA,Midfilder,"24,500",19,0,0,0
3568,Capitoline,Serie A,ESP,Defender,"24,500",18,0,0,0
3569,Inter,Serie A,ITA,Defender,"24,000",19,12,0,12
3570,PTM,Primiera Liga,POR,Forward,"23,500",23,2,0,2
3571,Torino,Serie A,SWE,Defender,"23,500",18,10,0,10
3572,Torino,Serie A,FRA,Defender,"23,500",18,0,0,0
3573,Salento,Serie A,FIN,Midfilder,"23,500",19,12,0,12
3574,Bournemouth,Premier League,IRL,Defender,"23,500",20,20,0,20
3575,Bournemouth,Premier League,ENG,Goalkeeper,"23,500",19,32,0,32
3576,Bournemouth,Premier League,ENG,Defender,"23,500",19,29,0,29
3577,Sampdoria,Serie A,ITA,Midfilder,"23,000",19,1,0,1
3578,Empoli,Serie A,ALB,Midfilder,"23,000",19,0,0,0
3579,Capitoline,Serie A,FRA,Defender,"23,000",19,0,0,0
3580,Parthenope,Serie A,ITA,Defender,"23,000",19,0,0,0
3581,Sassuolo,Serie A,ITA,Defender,"23,000",19,11,0,11
3582,Sassuolo,Serie A,ITA,Midfilder,"22,500",19,0,0,0
3583,BRG,Primiera Liga,GNB,Forward,"22,500",18,0,0,0
3584,BRG,Primiera Liga,POR,Midfilder,"22,500",20,0,0,0
3585,BRG,Primiera Liga,POR,Midfilder,"22,500",20,0,0,0
3586,Atalanta,Serie A,NOR,Midfilder,"22,500",18,15,0,15
3587,BRG,Primiera Liga,POR,Goalkeeper,"22,500",18,0,0,0
3588,Estoril Praia,Primiera Liga,POR,Forward,"22,500",20,0,0,0
3589,Famalicao,Primiera Liga,POR,Defender,"22,500",18,0,0,0
3590,Famalicao,Primiera Liga,POR,Forward,"22,500",20,0,0,0
3591,VIZ,Primiera Liga,POR,Forward,"22,500",18,3,0,3
3592,Estoril Praia,Primiera Liga,POR,Defender,"22,500",20,10,0,10
3593,Famalicao,Primiera Liga,POR,Midfilder,"22,500",19,1,0,1
3594,BRG,Primiera Liga,POR,Midfilder,"22,500",19,0,0,0
3595,Famalicao,Primiera Liga,POR,Forward,"22,500",19,3,0,3
3596,Gil Vicente,Primiera Liga,POR,Defender,"22,500",22,58,0,58
3597,MRT,Primiera Liga,MOZ,Forward,"22,500",20,2,0,2
3598,Inter,Serie A,ALB,Defender,"21,500",19,0,0,0
3599,Sassuolo,Serie A,ALB,Midfilder,"21,500",19,0,0,0
3600,Bologna,Serie A,ITA,Forward,"21,500",18,0,0,0
3601,Empoli,Serie A,ITA,Forward,"21,500",19,0,0,0
3602,Udinese,Serie A,ITA,Midfilder,"21,000",19,1,0,1
3603,Sassuolo,Serie A,ITA,Defender,"21,000",19,0,0,0
3604,VfB Stuttgart,Bundesliga,JPN,Defender,"21,000",18,0,0,0
3605,Leeds,Premier League,FRA,Forward,"21,000",18,0,0,0
3606,Bournemouth,Premier League,ENG,Forward,"21,000",19,20,0,20
3607,Bournemouth,Premier League,ENG,Goalkeeper,"21,000",19,17,0,17
3608,Bournemouth,Premier League,ENG,Defender,"21,000",19,4,0,4
3609,Bournemouth,Premier League,ENG,Midfilder,"21,000",19,7,0,7
3610,Newcastle,Premier League,SCO,Goalkeeper,"21,000",19,25,0,25
3611,Leeds,Premier League,ENG,Defender,"21,000",18,0,0,0
3612,Leeds,Premier League,ENG,Midfilder,"21,000",18,0,0,0
3613,Leeds,Premier League,SCO,Defender,"21,000",18,0,0,0
3614,Sampdoria,Serie A,ITA,Defender,"20,500",19,0,0,0
3615,Estoril Praia,Primiera Liga,UKR,Midfilder,"20,500",19,13,0,13
3616,PTM,Primiera Liga,BRA,Midfilder,"20,000",20,15,0,15
3617,VIZ,Primiera Liga,POR,Defender,"20,000",20,5,0,5
3618,Famalicao,Primiera Liga,NGA,Forward,"20,000",18,6,0,6
3619,VIZ,Primiera Liga,GNB,Goalkeeper,"20,000",19,0,0,0
3620,Gil Vicente,Primiera Liga,COL,Defender,"20,000",20,16,0,16
3621,Gil Vicente,Primiera Liga,ANG,Forward,"20,000",19,13,0,13
3622,VTSC,Primiera Liga,ANG,Forward,"20,000",18,0,0,0
3623,VIZ,Primiera Liga,BRA,Defender,"20,000",19,0,0,0
3624,VIZ,Primiera Liga,POR,Defender,"20,000",18,0,0,0
3625,Estoril Praia,Primiera Liga,POR,Midfilder,"20,000",19,21,0,21
3626,MRT,Primiera Liga,COL,Defender,"20,000",22,3,0,3
3627,P. Ferreira,Primiera Liga,POR,Goalkeeper,"20,000",20,7,0,7
3628,Estoril Praia,Primiera Liga,POR,Midfilder,"20,000",20,1,0,1
3629,MRT,Primiera Liga,MOZ,Defender,"20,000",22,1,0,1
3630,MRT,Primiera Liga,BRA,Forward,"20,000",20,5,0,5
3631,Estoril Praia,Primiera Liga,POR,Forward,"20,000",18,1,0,1
3632,BVT,Primiera Liga,POR,Midfilder,"20,000",18,0,0,0
3633,VIZ,Primiera Liga,POR,Defender,"20,000",18,0,0,0
3634,Estoril Praia,Primiera Liga,GER,Midfilder,"20,000",19,0,0,0
3635,VTSC,Primiera Liga,POR,Defender,"20,000",18,0,0,0
3636,VTSC,Primiera Liga,POR,Defender,"20,000",18,0,0,0
3637,MRT,Primiera Liga,COL,Forward,"20,000",22,5,0,5
3638,VIZ,Primiera Liga,POR,Defender,"20,000",18,31,0,31
3639,VIZ,Primiera Liga,NGA,Midfilder,"20,000",20,0,0,0
3640,Gil Vicente,Primiera Liga,POR,Forward,"20,000",22,39,0,39
3641,Parthenope,Serie A,ITA,Goalkeeper,"20,000",18,0,0,0
3642,Torino,Serie A,ROU,Defender,"19,750",19,0,0,0
3643,Bournemouth,Premier League,ENG,Midfilder,"19,500",19,11,0,11
3644,Udinese,Serie A,TUN,Defender,"19,500",19,1,0,1
3645,Empoli,Serie A,HUN,Defender,"19,250",18,2,0,2
3646,Sassuolo,Serie A,GUI,Midfilder,"19,250",19,0,0,0
3647,Verona,Serie A,FRA,Defender,"19,000",19,0,0,0
3648,Torino,Serie A,ENG,Defender,"19,000",19,0,0,0
3649,Inter,Serie A,DEN,Midfilder,"18,750",18,0,0,0
3650,Lazio,Serie A,POL,Goalkeeper,"18,500",18,2,0,2
3651,Juventus,Serie A,ITA,Defender,"18,500",18,28,0,28
3652,Spezia,Serie A,ITA,Midfilder,"18,250",19,0,0,0
3653,Salernitana,Serie A,POL,Defender,"18,250",18,0,0,0
3654,Sassuolo,Serie A,NED,Defender,"18,250",18,0,0,0
3655,Verona,Serie A,CIV,Forward,"18,250",18,0,0,0
3656,Spezia,Serie A,ITA,Goalkeeper,"18,250",19,0,0,0
3657,Atalanta,Serie A,ITA,Forward,"18,250",19,0,0,0
3658,Cremonese,Serie A,ITA,Midfilder,"18,250",19,0,0,0
3659,Salernitana,Serie A,LTU,Defender,"18,250",18,53,0,53
3660,Inter,Serie A,SVN,Defender,"18,250",18,0,0,0
3661,Torino,Serie A,ITA,Goalkeeper,"18,250",19,0,0,0
3662,Spezia,Serie A,ITA,Defender,"18,250",19,4,0,4
3663,Spezia,Serie A,ISL,Defender,"18,250",18,1,0,1
3664,Verona,Serie A,MAR,Midfilder,"18,250",18,4,0,4
3665,Sampdoria,Serie A,ITA,Defender,"18,250",19,0,0,0
3666,Fiorentina,Serie A,SEN,Forward,"18,250",18,0,0,0
3667,Atalanta,Serie A,ALB,Midfilder,"18,250",18,0,0,0
3668,Cremonese,Serie A,ITA,Midfilder,"18,250",18,24,0,24
3669,Empoli,Serie A,BEL,Defender,"18,250",18,0,0,0
3670,Udinese,Serie A,GHA,Forward,"18,250",18,0,0,0
3671,Nottm Forest,Premier League,ENG,Midfilder,"18,250",19,1,0,1
3672,Gil Vicente,Primiera Liga,UKR,Defender,"18,250",18,0,0,0
3673,Verona,Serie A,SUI,Forward,"18,000",18,10,0,10
3674,MRT,Primiera Liga,POR,Forward,"18,000",19,0,0,0
3675,MRT,Primiera Liga,POR,Midfilder,"18,000",18,6,0,6
3676,MRT,Primiera Liga,BRA,Forward,"18,000",22,11,0,11
3677,VIZ,Primiera Liga,POR,Forward,"18,000",20,0,0,0
3678,MRT,Primiera Liga,POR,Defender,"18,000",20,0,0,0
3679,Estoril Praia,Primiera Liga,POR,Forward,"18,000",18,0,0,0
3680,VIZ,Primiera Liga,NGA,Forward,"18,000",20,3,0,3
3681,VIZ,Primiera Liga,POR,Midfilder,"18,000",18,0,0,0
3682,MRT,Primiera Liga,ANG,Midfilder,"18,000",19,0,0,0
3683,Gil Vicente,Primiera Liga,POR,Defender,"18,000",21,24,0,24
3684,MRT,Primiera Liga,POR,Forward,"18,000",20,19,0,19
3685,MRT,Primiera Liga,POR,Forward,"18,000",19,10,0,10
3686,Gil Vicente,Primiera Liga,MAR,Defender,"18,000",19,0,0,0
3687,VIZ,Primiera Liga,POR,Defender,"18,000",19,0,0,0
3688,MRT,Primiera Liga,BRA,Defender,"18,000",18,0,0,0
3689,VIZ,Primiera Liga,NGA,Forward,"18,000",19,0,0,0
3690,MRT,Primiera Liga,POR,Forward,"18,000",21,5,0,5
3691,Famalicao,Primiera Liga,POR,Defender,"18,000",19,0,0,0
3692,MRT,Primiera Liga,POR,Midfilder,"18,000",20,1,0,1
3693,VIZ,Primiera Liga,POR,Defender,"17,500",20,0,0,0
3694,MRT,Primiera Liga,POR,Forward,"17,500",19,5,0,5
3695,MRT,Primiera Liga,POR,Forward,"17,500",18,3,0,3
3696,PTM,Primiera Liga,POR,Forward,"17,500",20,30,0,30
3697,MRT,Primiera Liga,POR,Forward,"17,500",19,10,0,10
3698,BVT,Primiera Liga,POR,Forward,"17,500",18,0,0,0
3699,Gil Vicente,Primiera Liga,POR,Midfilder,"17,500",20,3,0,3
3700,MRT,Primiera Liga,POR,Midfilder,"17,500",21,0,0,0
3701,MRT,Primiera Liga,POR,Defender,"17,500",21,0,0,0
3702,PTM,Primiera Liga,POR,Defender,"17,500",21,17,0,17
3703,Parthenope,Serie A,TUN,Forward,"17,250",19,0,0,0
3704,Sassuolo,Serie A,GHA,Midfilder,"17,250",19,0,0,0
3705,Valencia,La Liga,ESP,Midfilder,"17,250",18,10,0,10
3706,Vigo,La Liga,ESP,Forward,"17,000",21,63,0,63
3707,MRT,Primiera Liga,POR,Forward,"16,750",18,4,0,4
3708,VIZ,Primiera Liga,NGA,Forward,"16,750",18,0,0,0
3709,Gil Vicente,Primiera Liga,POR,Forward,"16,750",19,4,0,4
3710,Gil Vicente,Primiera Liga,POR,Midfilder,"16,750",19,0,0,0
3711,PTM,Primiera Liga,POR,Defender,"16,750",18,4,0,4
3712,Estoril Praia,Primiera Liga,POR,Defender,"16,750",19,0,0,0
3713,Estoril Praia,Primiera Liga,POR,Defender,"16,750",18,2,0,2
3714,Gil Vicente,Primiera Liga,POR,Goalkeeper,"16,750",20,2,0,2
3715,Estoril Praia,Primiera Liga,POR,Goalkeeper,"16,750",19,0,0,0
3716,Casa Pia,Primiera Liga,POR,Defender,"16,750",18,0,0,0
3717,VIZ,Primiera Liga,POR,Midfilder,"16,750",19,0,0,0
3718,Estoril Praia,Primiera Liga,POR,Midfilder,"16,750",19,0,0,0
3719,Gil Vicente,Primiera Liga,POR,Midfilder,"16,750",19,0,0,0
3720,Rio Ave,Primiera Liga,POR,Midfilder,"16,750",19,0,0,0
3721,VIZ,Primiera Liga,NGA,Midfilder,"16,750",19,0,0,0
3722,Gil Vicente,Primiera Liga,POR,Midfilder,"16,750",19,0,0,0
3723,VIZ,Primiera Liga,NGA,Midfilder,"16,750",19,0,0,0
3724,Torino,Serie A,ESP,Midfilder,"16,500",19,0,0,0
3725,Torino,Serie A,EST,Forward,"16,000",19,25,0,25
3726,Mallorca,La Liga,ESP,Defender,"16,000",18,0,0,0
3727,Vigo,La Liga,ESP,Midfilder,"16,000",18,2,0,2
3728,SC Freiburg,Bundesliga,EST,Defender,"16,000",18,0,0,0
3729,Brianza,Serie A,ITA,Forward,"15,750",19,0,0,0
3730,VIZ,Primiera Liga,CAN,Midfilder,"15,750",21,0,0,0
3731,VIZ,Primiera Liga,POR,Forward,"15,750",19,26,0,26
3732,Estoril Praia,Primiera Liga,POR,Defender,"15,750",19,0,0,0
3733,Estoril Praia,Primiera Liga,POR,Goalkeeper,"15,750",19,0,0,0
3734,PTM,Primiera Liga,POR,Forward,"15,750",18,0,0,0
3735,MRT,Primiera Liga,POR,Defender,"15,750",19,27,0,27
3736,VIZ,Primiera Liga,NGA,Forward,"15,750",18,0,0,0
3737,Estoril Praia,Primiera Liga,POR,Forward,"15,750",19,1,0,1
3738,Gil Vicente,Primiera Liga,POR,Midfilder,"15,750",19,1,0,1
3739,MRT,Primiera Liga,POR,Midfilder,"15,750",19,5,0,5
3740,Gil Vicente,Primiera Liga,POR,Midfilder,"15,750",19,5,0,5
3741,Gil Vicente,Primiera Liga,POR,Defender,"15,750",19,0,0,0
3742,MRT,Primiera Liga,POR,Goalkeeper,"15,750",19,7,0,7
3743,MRT,Primiera Liga,POR,Goalkeeper,"15,750",18,7,0,7
3744,MRT,Primiera Liga,POR,Defender,"15,750",18,4,0,4
3745,VIZ,Primiera Liga,POR,Defender,"15,750",18,0,0,0
3746,Rio Ave,Primiera Liga,POR,Defender,"15,750",19,0,0,0
3747,MRT,Primiera Liga,POR,Midfilder,"15,750",21,0,0,0
3748,VIZ,Primiera Liga,POR,Defender,"15,750",19,0,0,0
3749,Rio Ave,Primiera Liga,POR,Midfilder,"15,750",20,0,0,0
3750,VIZ,Primiera Liga,GHA,Defender,"15,750",18,0,0,0
3751,Gil Vicente,Primiera Liga,CAN,Goalkeeper,"15,500",18,0,0,0
3752,Valladolid,La Liga,ESP,Forward,"15,500",19,33,0,33
3753,Almeria,La Liga,GNB,Forward,"15,500",18,18,0,18
3754,A. Madrid,La Liga,ESP,Midfilder,"15,500",18,1,0,1
3755,Valladolid,La Liga,ESP,Midfilder,"15,500",18,15,0,15
3756,PTM,Primiera Liga,BRA,Goalkeeper,"15,500",20,0,0,0
3757,MRT,Primiera Liga,POR,Defender,"15,500",19,2,0,2
3758,A. Madrid,La Liga,ESP,Defender,"14,750",18,0,0,0
3759,A. Madrid,La Liga,MAR,Midfilder,"14,750",18,1,0,1
3760,1. FC Koln,Bundesliga,GER,Forward,"14,500",18,29,0,29
3761,Real San Sebastian,La Liga,ESP,Forward,"14,500",18,14,0,14
3762,Torino,Serie A,FRA,Defender,"14,500",18,0,0,0
3763,Famalicao,Primiera Liga,NGA,Forward,"14,250",19,20,0,20
3764,Verona,Serie A,ITA,Forward,"14,000",19,4,0,4
3765,Getafe,La Liga,ESP,Defender,"13,750",18,21,0,21
3766,Bologna,Serie A,HUN,Midfilder,"13,500",19,15,0,15
3767,Valencia,La Liga,ESP,Midfilder,"13,500",19,24,0,24
3768,Verona,Serie A,ITA,Midfilder,"13,500",19,0,0,0
3769,Rio Ave,Primiera Liga,POR,Defender,"13,500",19,0,0,0
3770,Gil Vicente,Primiera Liga,POR,Forward,"13,500",21,56,0,56
3771,MRT,Primiera Liga,DEN,Defender,"13,500",20,15,0,15
3772,Rio Ave,Primiera Liga,POR,Midfilder,"13,500",19,0,0,0
3773,Gil Vicente,Primiera Liga,POR,Goalkeeper,"13,500",19,0,0,0
3774,Rio Ave,Primiera Liga,SEN,Forward,"13,500",20,0,0,0
3775,Rio Ave,Primiera Liga,POR,Forward,"13,500",20,1,0,1
3776,MRT,Primiera Liga,MOZ,Goalkeeper,"13,500",18,0,0,0
3777,VIZ,Primiera Liga,POR,Midfilder,"13,500",18,6,0,6
3778,Sporting CP,Primiera Liga,BRA,Forward,"13,500",18,0,0,0
3779,Real San Sebastian,La Liga,ESP,Forward,"13,500",18,17,0,17
3780,MRT,Primiera Liga,POR,Defender,"13,500",19,7,0,7
3781,Gil Vicente,Primiera Liga,POR,Forward,"13,500",20,23,0,23
3782,Gil Vicente,Primiera Liga,POR,Defender,"13,500",19,0,0,0
3783,Gil Vicente,Primiera Liga,POR,Forward,"13,500",18,3,0,3
3784,Gil Vicente,Primiera Liga,GNB,Defender,"13,500",20,10,0,10
3785,Rio Ave,Primiera Liga,POR,Forward,"13,500",19,0,0,0
3786,Rio Ave,Primiera Liga,POR,Forward,"13,500",19,3,0,3
3787,Rio Ave,Primiera Liga,POR,Forward,"13,500",18,0,0,0
3788,MRT,Primiera Liga,POR,Forward,"13,500",22,19,0,19
3789,Rio Ave,Primiera Liga,TUN,Forward,"13,500",19,0,0,0
3790,FC Augsburg,Bundesliga,TUR,Defender,"13,250",18,3,0,3
3791,Valencia,La Liga,ESP,Midfilder,"13,000",18,0,0,0
3792,Valencia,La Liga,ESP,Forward,"13,000",18,2,0,2
3793,Valencia,La Liga,ESP,Midfilder,"13,000",18,0,0,0
3794,Valencia,La Liga,ESP,Forward,"13,000",18,0,0,0
3795,Girona,La Liga,ESP,Defender,"13,000",19,0,0,0
3796,Espanyol,La Liga,ESP,Forward,"13,000",18,0,0,0
3797,Cadiz,La Liga,ESP,Defender,"13,000",18,0,0,0
3798,Cadiz,La Liga,ESP,Defender,"13,000",18,0,0,0
3799,Valencia,La Liga,BUL,Goalkeeper,"13,000",18,1,0,1
3800,Real San Sebastian,La Liga,ESP,Defender,"13,000",18,2,0,2
3801,Elche,La Liga,ESP,Goalkeeper,"13,000",18,0,0,0
3802,Elche,La Liga,ESP,Defender,"13,000",18,0,0,0
3803,Elche,La Liga,ESP,Defender,"13,000",18,0,0,0
3804,Valencia,La Liga,ESP,Defender,"13,000",18,0,0,0
3805,Real San Sebastian,La Liga,ESP,Goalkeeper,"13,000",18,0,0,0
3806,Real San Sebastian,La Liga,ESP,Defender,"13,000",18,0,0,0
3807,Real San Sebastian,La Liga,ESP,Defender,"13,000",18,0,0,0
3808,Real San Sebastian,La Liga,ESP,Defender,"13,000",18,0,0,0
3809,Real San Sebastian,La Liga,ESP,Midfilder,"13,000",18,0,0,0
3810,Real San Sebastian,La Liga,FRA,Midfilder,"13,000",18,1,0,1
3811,Espanyol,La Liga,ESP,Forward,"13,000",18,0,0,0
3812,Atletico Pamplona,La Liga,ESP,Goalkeeper,"13,000",18,0,0,0
3813,A. Madrid,La Liga,ESP,Forward,"13,000",18,0,0,0
3814,Vallecano,La Liga,ESP,Goalkeeper,"13,000",19,0,0,0
3815,Getafe,La Liga,COL,Forward,"13,000",19,0,0,0
3816,Atletico Pamplona,La Liga,ESP,Defender,"13,000",19,5,0,5
3817,Elche,La Liga,ESP,Midfilder,"13,000",18,0,0,0
3818,A. Madrid,La Liga,ESP,Midfilder,"13,000",18,1,0,1
3819,A. Bilbao,La Liga,ESP,Defender,"13,000",18,0,0,0
3820,Girona,La Liga,ESP,Defender,"13,000",18,4,0,4
3821,Cadiz,La Liga,MLI,Defender,"13,000",18,1,0,1
3822,Espanyol,La Liga,ESP,Forward,"13,000",18,0,0,0
3823,Mallorca,La Liga,ESP,Forward,"13,000",18,2,0,2
3824,Espanyol,La Liga,LTU,Goalkeeper,"13,000",18,0,0,0
3825,Real Hispalis,La Liga,ESP,Defender,"13,000",18,0,0,0
3826,Mallorca,La Liga,ESP,Goalkeeper,"13,000",18,7,0,7
3827,Valladolid,La Liga,ESP,Midfilder,"13,000",18,22,0,22
3828,A. Madrid,La Liga,MAR,Forward,"13,000",18,0,0,0
